Depth_cm,Rainfall_mm,Temperature_C,Slope_pct,Land_Use,Parent_Material,Clay_pct,Sand_pct,Silt_pct,Organic_Matter_pct,pH,Nitrogen_mgkg,Phosphorus_mgkg,Potassium_mgkg,Moisture_pct,CEC_cmolkg,Fertility_Score,Fertility_Class
56.2,325.1,10.9,17.85,Grassland,Glacial Till,14.78,69.15,16.07,3.66,5.23,396.0,25.4,105.5,5.91,13.05,28.4,Low
142.6,1522.7,12.6,3.59,Wetland,Alluvium,52.02,44.59,3.39,5.94,4.93,528.8,30.1,163.4,27.27,32.54,54.9,Medium
109.8,602.6,21.6,1.72,Wetland,Loess,39.59,44.52,15.89,5.9,6.61,541.6,28.3,134.0,4.47,31.93,75.7,High
89.8,538.7,12.3,3.17,Forest,Residuum,32.19,59.51,8.3,3.93,5.58,239.7,33.6,133.3,14.11,22.5,39.4,Low
23.4,1205.6,20.8,9.75,Grassland,Loess,20.41,66.01,13.58,7.03,4.91,724.8,17.4,135.5,10.75,23.35,63.8,High
23.4,1559.9,9.8,1.82,Cropland,Loess,35.01,52.36,12.63,8.74,4.52,879.8,22.9,166.2,20.52,33.02,74.5,High
8.7,1296.1,23.1,1.07,Forest,Residuum,23.55,51.65,24.8,9.45,4.68,897.7,30.1,104.4,16.94,34.18,70.4,High
129.9,1091.0,10.6,0.69,Grassland,Alluvium,39.29,45.91,14.8,4.67,5.03,352.1,27.5,169.8,20.32,28.2,40.9,Medium
90.2,1098.7,21.3,1.77,Cropland,Alluvium,36.11,51.86,12.03,4.94,5.23,541.5,22.8,125.9,19.63,27.71,50.4,Medium
106.2,1163.4,21.8,7.57,Forest,Residuum,44.18,44.57,11.25,4.02,4.77,341.8,29.1,123.0,23.58,28.65,38.1,Low
3.1,1139.7,13.8,3.19,Cropland,Residuum,21.78,63.66,14.57,7.67,5.36,701.5,21.2,110.2,16.22,26.45,58.5,Medium
145.5,1020.3,21.5,1.29,Forest,Loess,46.03,35.51,18.47,4.4,5.59,556.8,12.0,195.9,21.92,32.75,55.5,Medium
124.9,976.1,19.6,0.91,Grassland,Residuum,48.42,34.4,17.18,4.56,4.83,390.9,22.3,189.8,22.56,30.86,35.3,Low
31.9,934.4,14.8,2.02,Cropland,Residuum,18.51,60.9,20.58,5.91,5.87,606.5,23.8,109.6,8.27,17.84,44.7,Medium
27.3,761.5,11.9,14.06,Wetland,Residuum,11.98,60.46,27.56,8.52,4.78,842.7,31.2,88.7,6.45,25.01,58.9,Medium
27.5,879.8,6.2,2.1,Forest,Alluvium,16.31,57.27,26.42,6.44,5.23,635.3,23.8,95.8,13.83,21.86,50.8,Medium
45.6,526.8,20.1,22.17,Cropland,Residuum,16.27,50.44,33.29,3.28,6.29,328.1,17.8,103.4,11.14,14.42,23.3,Low
78.7,925.4,8.6,3.32,Cropland,Glacial Till,32.78,52.09,15.13,4.65,5.05,464.5,19.9,112.4,17.51,25.46,35.7,Low
64.8,702.9,18.6,0.99,Cropland,Glacial Till,33.92,51.03,15.05,3.79,5.9,376.1,20.8,131.6,11.94,22.48,43.8,Medium
43.7,674.1,16.4,11.09,Cropland,Residuum,21.05,62.35,16.61,5.87,5.86,554.4,21.8,109.7,11.91,21.84,44.4,Medium
91.8,995.0,22.1,3.08,Grassland,Residuum,33.76,51.84,14.39,4.4,4.68,508.5,17.6,107.1,12.77,24.17,31.4,Low
20.9,1298.0,16.2,6.18,Grassland,Glacial Till,25.19,55.35,19.46,6.99,4.82,585.7,21.0,104.9,20.44,24.84,49.0,Medium
43.8,1179.6,16.0,20.59,Wetland,Residuum,23.31,64.24,12.45,8.34,4.75,853.1,33.4,134.0,13.57,30.37,73.1,High
